iter	Passed	Remaining
0	168	84119
1	173	43162
2	178	29630
3	184	22862
4	189	18722
5	193	15939
6	198	13945
7	202	12455
8	207	11312
9	211	10385
10	216	9635
11	221	9017
12	226	8479
13	231	8034
14	236	7638
15	241	7298
16	246	6991
17	250	6714
18	255	6468
19	260	6244
20	264	6044
21	270	5885
22	275	5722
23	280	5573
24	285	5433
25	290	5299
26	295	5173
27	300	5060
28	305	4953
29	309	4852
30	314	4762
31	320	4682
32	324	4597
33	330	4525
34	335	4455
35	340	4389
36	346	4336
37	351	4275
38	356	4218
39	362	4169
40	367	4117
41	373	4072
42	378	4025
43	384	3981
44	389	3938
45	394	3897
46	400	3857
47	405	3819
48	411	3783
49	416	3746
50	422	3718
51	427	3686
52	433	3656
53	439	3628
54	444	3595
55	448	3559
56	453	3526
57	458	3494
58	463	3463
59	468	3433
60	473	3406
61	478	3377
62	482	3348
63	487	3323
64	492	3295
65	497	3269
66	502	3248
67	507	3227
68	513	3208
69	519	3188
70	524	3167
71	529	3145
72	534	3125
73	539	3104
74	544	3082
75	548	3062
76	553	3042
77	558	3022
78	563	3001
79	568	2985
80	573	2969
81	578	2950
82	584	2936
83	589	2920
84	594	2902
85	599	2886
86	604	2869
87	609	2853
88	614	2837
89	620	2825
90	625	2811
91	630	2796
92	635	2781
93	640	2765
94	645	2749
95	650	2738
96	656	2726
97	661	2712
98	666	2698
99	670	2682
100	674	2666
101	679	2652
102	684	2638
103	688	2622
104	693	2607
105	697	2592
106	701	2577
107	705	2561
108	710	2548
109	714	2533
110	718	2518
111	723	2505
112	727	2492
113	732	2478
114	736	2465
115	740	2452
116	745	2438
117	749	2425
118	753	2412
119	757	2399
120	762	2387
121	766	2374
122	770	2362
123	775	2350
124	779	2338
125	783	2326
126	788	2317
127	793	2306
128	797	2294
129	802	2282
130	806	2271
131	810	2260
132	815	2250
133	819	2239
134	824	2228
135	828	2217
136	832	2206
137	837	2196
138	841	2186
139	846	2176
140	850	2165
141	854	2155
142	859	2145
143	863	2135
144	868	2125
145	873	2117
146	877	2107
147	881	2097
148	886	2088
149	890	2078
150	895	2068
151	899	2058
152	903	2049
153	908	2040
154	912	2030
155	916	2021
156	921	2012
157	926	2005
158	930	1996
159	935	1986
160	939	1977
161	943	1968
162	947	1959
163	951	1950
164	956	1942
165	961	1934
166	965	1925
167	970	1917
168	975	1909
169	979	1900
170	983	1893
171	988	1884
172	992	1876
173	996	1867
174	1001	1859
175	1005	1851
176	1010	1843
177	1014	1834
178	1018	1826
179	1023	1818
180	1027	1810
181	1031	1802
182	1036	1795
183	1041	1787
184	1045	1780
185	1050	1773
186	1054	1765
187	1058	1757
188	1063	1749
189	1068	1743
190	1073	1737
191	1078	1729
192	1082	1721
193	1086	1714
194	1090	1706
195	1095	1698
196	1099	1690
197	1103	1683
198	1107	1675
199	1111	1667
200	1116	1660
201	1120	1653
202	1124	1645
203	1129	1639
204	1134	1631
205	1138	1624
206	1143	1618
207	1147	1610
208	1151	1603
209	1155	1596
210	1160	1589
211	1164	1582
212	1169	1575
213	1173	1568
214	1178	1561
215	1182	1555
216	1186	1548
217	1191	1541
218	1195	1534
219	1199	1527
220	1204	1521
221	1210	1515
222	1214	1509
223	1219	1502
224	1224	1496
225	1228	1489
226	1233	1483
227	1237	1476
228	1241	1469
229	1246	1462
230	1250	1456
231	1255	1450
232	1260	1443
233	1264	1437
234	1269	1431
235	1273	1424
236	1278	1418
237	1282	1412
238	1287	1405
239	1291	1399
240	1296	1393
241	1300	1386
242	1305	1380
243	1309	1374
244	1314	1367
245	1318	1361
246	1323	1355
247	1327	1349
248	1332	1343
249	1336	1336
250	1341	1331
251	1346	1325
252	1351	1319
253	1355	1313
254	1360	1306
255	1364	1300
256	1369	1294
257	1374	1289
258	1378	1282
259	1383	1276
260	1387	1270
261	1392	1264
262	1396	1258
263	1401	1252
264	1406	1246
265	1410	1240
266	1415	1235
267	1420	1229
268	1425	1224
269	1430	1218
270	1434	1212
271	1439	1206
272	1444	1200
273	1449	1195
274	1455	1190
275	1460	1185
276	1466	1180
277	1470	1174
278	1475	1168
279	1480	1163
280	1485	1157
281	1489	1151
282	1494	1146
283	1499	1140
284	1503	1134
285	1507	1128
286	1512	1122
287	1516	1116
288	1520	1110
289	1524	1104
290	1529	1098
291	1534	1092
292	1538	1087
293	1543	1081
294	1547	1075
295	1551	1069
296	1555	1063
297	1560	1057
298	1564	1051
299	1569	1046
300	1573	1040
301	1578	1034
302	1582	1029
303	1587	1023
304	1591	1017
305	1595	1011
306	1599	1005
307	1603	999
308	1607	993
309	1611	987
310	1615	981
311	1620	976
312	1624	970
313	1628	964
314	1632	958
315	1636	953
316	1640	947
317	1644	941
318	1649	935
319	1653	930
320	1657	924
321	1662	918
322	1667	913
323	1671	908
324	1675	902
325	1680	896
326	1684	891
327	1688	885
328	1692	879
329	1696	874
330	1701	868
331	1705	862
332	1709	857
333	1713	851
334	1718	846
335	1722	840
336	1726	835
337	1731	829
338	1735	824
339	1739	818
340	1743	813
341	1748	807
342	1752	802
343	1756	796
344	1760	790
345	1764	785
346	1768	779
347	1772	774
348	1777	768
349	1781	763
350	1785	757
351	1789	752
352	1793	746
353	1797	741
354	1802	736
355	1807	730
356	1811	725
357	1815	720
358	1819	714
359	1823	709
360	1827	703
361	1831	698
362	1835	692
363	1839	687
364	1844	682
365	1848	676
366	1852	671
367	1856	665
368	1861	660
369	1865	655
370	1869	649
371	1873	644
372	1878	639
373	1882	634
374	1886	628
375	1890	623
376	1895	618
377	1899	612
378	1903	607
379	1907	602
380	1911	597
381	1915	591
382	1919	586
383	1924	581
384	1928	575
385	1932	570
386	1936	565
387	1941	560
388	1945	555
389	1949	549
390	1954	544
391	1958	539
392	1962	534
393	1966	529
394	1971	523
395	1975	518
396	1979	513
397	1983	508
398	1987	503
399	1991	497
400	1995	492
401	1999	487
402	2003	482
403	2007	477
404	2011	471
405	2016	466
406	2020	461
407	2024	456
408	2028	451
409	2032	446
410	2036	440
411	2040	435
412	2044	430
413	2048	425
414	2052	420
415	2056	415
416	2060	410
417	2064	405
418	2068	399
419	2072	394
420	2076	389
421	2080	384
422	2085	379
423	2089	374
424	2093	369
425	2097	364
426	2101	359
427	2105	354
428	2109	349
429	2113	344
430	2117	338
431	2121	333
432	2125	328
433	2129	323
434	2133	318
435	2137	313
436	2141	308
437	2146	303
438	2150	298
439	2154	293
440	2158	288
441	2162	283
442	2166	278
443	2170	273
444	2174	268
445	2178	263
446	2182	258
447	2186	253
448	2190	248
449	2194	243
450	2198	238
451	2203	233
452	2207	228
453	2211	224
454	2215	219
455	2219	214
456	2223	209
457	2227	204
458	2232	199
459	2236	194
460	2239	189
461	2243	184
462	2247	179
463	2251	174
464	2255	169
465	2259	164
466	2263	159
467	2266	154
468	2270	150
469	2274	145
470	2277	140
471	2282	135
472	2285	130
473	2289	125
474	2293	120
475	2297	115
476	2301	110
477	2304	106
478	2308	101
479	2312	96
480	2316	91
481	2319	86
482	2323	81
483	2327	76
484	2331	72
485	2335	67
486	2339	62
487	2343	57
488	2346	52
489	2350	47
490	2354	43
491	2359	38
492	2363	33
493	2367	28
494	2371	23
495	2375	19
496	2378	14
497	2382	9
498	2386	4
499	2390	0
